Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,148,14099,10675,7055,913,2297,17,1127,5135,520,3224
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3,148,14099,10675,7055,913,2297,17,1127,5135,520,3224
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build,42,1080,828,702,0,252,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources,42,1080,828,702,0,252,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output,42,1080,828,702,0,252,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com,42,1080,828,702,0,252,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities,42,1080,828,702,0,252,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src,105,12980,9836,6344,913,2036,17,1108,5072,520,3224
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java,105,12980,9836,6344,913,2036,17,1108,5072,520,3224
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com,104,12911,9791,6321,904,2030,17,1090,4947,520,3224
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller,24,3832,2985,2307,211,569,13,278,1039,120,744
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\converter,1,15,3,2,0,3,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities,42,7485,5870,3374,598,1161,0,454,2419,210,1302
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\filter,1,54,35,26,1,9,0,10,40,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models,35,1489,879,598,93,280,4,330,1375,175,1085
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\utils,1,36,19,14,1,8,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\test,1,39,11,9,0,9,0,19,63,0,0
